sentence , occurrences 
this photo is real or , 2
Photoshopped photos give girls a , 1
not going out dressed like , 1
sizes Check out my poster , 1
and sizes Check out my , 1
poster which celebrates my uniqueness , 1
should know that beauty comes , 1
at Retouch Roulette Can you , 1
about how you'd deal with , 1
I just scored 3.5/10 on , 1
judge if a photo is , 1
many people don't know whether , 1
look great today Does this , 1
on fake and real beauty , 1
of a Champion Don’t judge , 1
too much time worrying about , 1
to conform to society's idea , 1
real or retouched if gives , 1
out my mosaic it celebrates , 1
out my article on fake , 1
Check out my article on , 1
about how I'd deal with , 2
Still think words can never , 1
is real or retouched if , 1
level Play now to see , 1
today Does this mean you , 1
people don't know whether a , 1
by their hairstyle or looks , 1
photo is real or retouched , 4
I've written a letter about , 2
know that beauty comes in , 2
is going to spoil my , 1
about their looks Check out , 1
whether this photo is real , 1
model for girls and young , 1
confident stand up to bullies , 1
we think words can never , 1
you look great today Does , 1
important to be confident and , 3
dressed like that are you , 1
be confident stand up to , 1
video Still think words can , 1
bullies I've written a letter , 2
or retouched if gives people , 1
scored 5 tries on Beginner , 1
real or retouched Play the , 1
you didn’t yesterday Crack Compliments , 1
a false idea of what , 2
a photo is real or , 4
confident and stand up for , 1
matters whether a photo is , 1
great role model for girls , 1
31 at Retouch Roulette Can , 1
is Check out my article , 1
to bullies I've written a , 2
like that are you Use , 1
friend says you look great , 1
going to spoil my mood , 1
people a false idea of , 1
Can you tell if a , 1
beauty is Check out my , 1
Did you know that beauty , 1
think this photo is real , 1
Stones video Still think words , 1
is a great role model , 1
for what you believer in , 1
a letter about how I'd , 2
this mean you didn’t yesterday , 1
up to bullies Try writing , 1
spend too much time worrying , 1
just scored 3.5/10 on Body , 1
Can you tell whether this , 1
mosaic it celebrates everything about , 1
written a letter about how , 2
scored 31 at Retouch Roulette , 1
by their looks Take the , 1
idea of what beauty is , 3
be confident and stand up , 3
just scored 31 at Retouch , 1
flaws can have inner and , 1
conform to society's idea of , 1
photos give girls a false , 1
and stand up for what , 1
Body of a Champion Don’t , 1
a Champion Don’t judge a , 1
retouched if gives people a , 1
of what beauty is Check , 1
shapes and sizes Check out , 1
for girls and young women , 1
role model for girls and , 1
out dressed like that are , 1
up to bullies I've written , 2
if a photo is real , 2
Play now to see how , 1
a letter about how you'd , 1
refuse to conform to society's , 1
don't know whether a photo , 1
So many people don't know , 1
worrying about their looks Check , 1
false idea of what beauty , 2
You’re not going out dressed , 1
tell if a photo is , 1
to society's idea of what , 1
Girls spend too much time , 1
stand up for what you , 1
you think words can never , 1
how flaws can have inner , 1
whether a photo is real , 2
never hurt someone we risk , 1
I refuse to conform to , 1
I just scored 31 at , 1
words can never hurt someone , 2
my mood today Mr Cameron , 1
now to see how flaws , 1
my poster which celebrates my , 1
Be confident and stand up , 1
Check out my poster which , 1
in all shapes and sizes , 2
Beginner level Play now to , 1
or retouched Play the game , 1
great today Does this mean , 1
great today go for it , 1
Your friend says you look , 1
what beauty is Check out , 1
Girls should know that beauty , 1
give girls a false idea , 1
Beyoncé is a great role , 1
a person by their hairstyle , 1
Use our Mum Translator to , 1
Roulette Can you tell if , 1
a great role model for , 1
you think this photo is , 1
to bullies Try writing a , 1
and stand up to bullies , 3
tries on Beginner level Play , 1
to see how flaws can , 1
person by their looks Take , 1
you Use our Mum Translator , 1
Retouch Roulette Can you tell , 1
Watch this Sticks and Stones , 1
shapes and sizes Don't judge , 1
to see what Mum really , 1
on Body of a Champion , 1
It's important to be confident , 4
if gives people a false , 1
person by their hairstyle or , 1
Do you think this photo , 1
Would you judge a person , 1
you know that beauty comes , 1
5 tries on Beginner level , 1
all shapes and sizes Check , 1
that beauty comes in all , 2
everyone says you look great , 1
going out dressed like that , 1
words can never hurt you , 1
tell whether this photo is , 1
Do you think words can , 1
Don't judge if a photo , 1
all shapes and sizes Don't , 1
you judge a person by , 1
Does this mean you didn’t , 1
It matters whether a photo , 1
are you Use our Mum , 1
you tell whether this photo , 1
important to be confident stand , 1
says you look great today , 2
to be confident and stand , 3
gives people a false idea , 1
Nothing is going to spoil , 1
we risk causing great harm , 1
comes in all shapes and , 2
Hey everyone says you look , 1
on Beginner level Play now , 1
girls a false idea of , 1
Try writing a letter about , 1
retouched Play the game now , 1
letter about how you'd deal , 1
you tell if a photo , 1
FLAW-LESS and scored 5 tries , 1
stand up to bullies Try , 1
hurt someone we risk causing , 1
it celebrates everything about me , 1
Mum Translator to see what , 1
article on fake and real , 1
can never hurt someone we , 1
society's idea of what beauty , 1
that are you Use our , 1
beauty comes in all shapes , 2
mean you didn’t yesterday Crack , 1
judge a person by their , 2
is real or retouched Play , 1
up for what you believer , 1
look great today go for , 1
time worrying about their looks , 1
Champion Don’t judge a person , 1
my mosaic it celebrates everything , 1
confident and stand up to , 3
3.5/10 on Body of a , 1
much time worrying about their , 1
and scored 5 tries on , 1
photo is real or not , 2
spoil my mood today Mr , 1
how I'd deal with one , 2
can have inner and outer , 1
looks Take the quiz today , 1
stand up to bullies I've , 2
our Mum Translator to see , 1
and Stones video Still think , 1
bullies Try writing a letter , 1
looks Check out my mosaic , 1
to spoil my mood today , 1
their looks Check out my , 1
to be confident stand up , 1
have inner and outer beauty , 1
out my poster which celebrates , 1
see how flaws can have , 1
letter about how I'd deal , 2
know whether a photo is , 1
my article on fake and , 1
think words can never hurt , 3
Sticks and Stones video Still , 1
scored 3.5/10 on Body of , 1
Don’t judge a person by , 1
see what Mum really means , 1
If we think words can , 1
how you'd deal with one , 1
Translator to see what Mum , 1
I played FLAW-LESS and scored , 1
played FLAW-LESS and scored 5 , 1
Check out my mosaic it , 1
their looks Take the quiz , 1
someone we risk causing great , 1
you look great today go , 1
writing a letter about how , 1
a person by their looks , 1
this Sticks and Stones video , 1
